EnsemblID	Chromosome	HGNC	st	en
ENSG00000223972	1	DDX11L1	11869	14412
ENSG00000227232	1	WASH7P	14363	29806
ENSG00000243485	1	MIR1302-10	29554	31109
ENSG00000243485	1	MIR1302-11	29554	31109
ENSG00000243485	1	MIR1302-2	29554	31109
ENSG00000243485	1	MIR1302-9	29554	31109
ENSG00000237613	1	FAM138A	34554	36081
ENSG00000268020	1	OR4G4P	52473	54936
ENSG00000240361	1	OR4G11P	62948	63887
ENSG00000186092	1	OR4F5	69091	70008
ENSG00000233750	1	CICP27	131025	134836
ENSG00000222623	1	RNU6-1100P	157784	157887
ENSG00000233653	1	CICP7	329431	332236
ENSG00000235249	1	OR4F29	367640	368634
ENSG00000269732	1	WBP1LP7	379105	379467
ENSG00000225972	1	MTND1P23	564442	564813
ENSG00000225630	1	MTND2P28	565020	566063
ENSG00000240409	1	MTATP8P1	568915	569121
ENSG00000248527	1	MTATP6P1	569076	569756
ENSG00000268663	1	WBP1LP6	610222	610645
ENSG00000185097	1	OR4F16	621059	622053
ENSG00000229376	1	CICP3	657472	660283
ENSG00000223181	1	RNU6-1199P	693613	693716
ENSG00000177757	1	FAM87B	752751	755214
ENSG00000225880	1	LINC00115	761586	762902
ENSG00000228794	1	LINC01128	762988	794826
ENSG00000230368	1	FAM41C	803451	812283
ENSG00000234711	1	TUBB8P11	808672	809729
ENSG00000187634	1	SAMD11	860260	879955
ENSG00000188976	1	NOC2L	879584	894689
ENSG00000187961	1	KLHL17	895967	901095
ENSG00000187583	1	PLEKHN1	901877	911245
ENSG00000187642	1	C1orf170	910579	917497
ENSG00000188290	1	HES4	934342	935552
ENSG00000187608	1	ISG15	948803	949920
ENSG00000188157	1	AGRN	955503	991496
ENSG00000237330	1	RNF223	1006346	1009687
ENSG00000131591	1	C1orf159	1017198	1051741
ENSG00000207730	1	MIR200B	1102484	1102578
ENSG00000207607	1	MIR200A	1103243	1103332
ENSG00000198976	1	MIR429	1104385	1104467
ENSG00000205231	1	TTLL10-AS1	1108436	1114935
ENSG00000162571	1	TTLL10	1109264	1133315
ENSG00000186891	1	TNFRSF18	1138888	1142071
ENSG00000186827	1	TNFRSF4	1146706	1149518
ENSG00000078808	1	SDF4	1152288	1167411
ENSG00000176022	1	B3GALT6	1167629	1170421
ENSG00000184163	1	FAM132A	1177826	1182102
ENSG00000160087	1	UBE2J2	1189289	1209265
ENSG00000162572	1	SCNN1D	1215816	1227409
ENSG00000131584	1	ACAP3	1227756	1244989
ENSG00000169972	1	PUSL1	1243947	1247057
ENSG00000127054	1	CPSF3L	1246965	1260071
ENSG00000224051	1	GLTPD1	1260136	1264277
ENSG00000169962	1	TAS1R3	1266694	1270686
ENSG00000107404	1	DVL1	1270656	1284730
ENSG00000162576	1	MXRA8	1288069	1297157
ENSG00000175756	1	AURKAIP1	1309110	1310875
ENSG00000221978	1	CCNL2	1321091	1334708
ENSG00000242485	1	MRPL20	1337288	1342693
ENSG00000264293	1	RN7SL657P	1340841	1341132
ENSG00000235098	1	ANKRD65	1353800	1357149
ENSG00000205116	1	TMEM88B	1361508	1363167
ENSG00000179403	1	VWA1	1370241	1378262
ENSG00000215915	1	ATAD3C	1385069	1405538
ENSG00000160072	1	ATAD3B	1407143	1433228
ENSG00000197785	1	ATAD3A	1447531	1470067
ENSG00000205090	1	TMEM240	1470554	1475833
ENSG00000160075	1	SSU72	1477053	1510249
ENSG00000228594	1	C1orf233	1533392	1535476
ENSG00000197530	1	MIB2	1550795	1565990
ENSG00000189409	1	MMP23B	1567474	1570639
ENSG00000248333	1	CDK11B	1570603	1590473
ENSG00000189339	1	SLC35E2B	1592939	1624167
ENSG00000215914	1	MMP23A	1631369	1633249
ENSG00000008128	1	CDK11A	1634169	1655766
ENSG00000215790	1	SLC35E2	1656277	1677431
ENSG00000008130	1	NADK	1682671	1711896
ENSG00000078369	1	GNB1	1716729	1822495
ENSG00000169885	1	CALML6	1846266	1848735
ENSG00000178821	1	TMEM52	1849029	1850712
ENSG00000142609	1	C1orf222	1853396	1935276
ENSG00000187730	1	GABRD	1950780	1962192
ENSG00000067606	1	PRKCZ	1981909	2116834
ENSG00000162585	1	C1orf86	2115903	2144159
ENSG00000157933	1	SKI	2160134	2241558
ENSG00000116151	1	MORN1	2252692	2323146
ENSG00000157916	1	RER1	2323267	2336883
ENSG00000157911	1	PEX10	2336236	2345236
ENSG00000149527	1	PLCH2	2357419	2436969
ENSG00000157881	1	PANK4	2439972	2458039
ENSG00000197921	1	HES5	2460184	2461684
ENSG00000157873	1	TNFRSF14	2487078	2496821
ENSG00000157870	1	FAM213B	2517930	2522908
ENSG00000142606	1	MMEL1	2522078	2564481
ENSG00000215912	1	TTC34	2567415	2718286
ENSG00000169717	1	ACTRT2	2938046	2939465
ENSG00000177133	1	LINC00982	2976179	2985001
ENSG00000142611	1	PRDM16	2985732	3355185
ENSG00000130762	1	ARHGEF16	3370990	3397677
ENSG00000162591	1	MEGF6	3406484	3528059
ENSG00000207776	1	MIR551A	3477259	3477354
ENSG00000158109	1	TPRG1L	3541566	3546691
ENSG00000116213	1	WRAP73	3547331	3569325
ENSG00000078900	1	TP73	3569084	3652765
ENSG00000227372	1	TP73-AS1	3652548	3663900
ENSG00000162592	1	CCDC27	3668962	3688209
ENSG00000235169	1	SMIM1	3689352	3692546
ENSG00000130764	1	LRRC47	3696784	3713068
ENSG00000266075	1	RN7SL574P	3699379	3699673
ENSG00000116198	1	CEP104	3728645	3773778
ENSG00000169598	1	DFFB	3773845	3801993
ENSG00000198912	1	C1orf174	3805689	3816857
ENSG00000236423	1	LINC01134	3816936	3833789
ENSG00000196581	1	AJAP1	4714792	4852594
ENSG00000264341	1	MIR4417	5624131	5624203
ENSG00000264101	1	MIR4689	5922732	5922801
ENSG00000131697	1	NPHP4	5922871	6052533
ENSG00000069424	1	KCNAB2	6051526	6161253
ENSG00000116254	1	CHD5	6161853	6240183
ENSG00000116251	1	RPL22	6241329	6269449
ENSG00000158286	1	RNF207	6265535	6281359
ENSG00000116237	1	ICMT	6281253	6296032
ENSG00000225077	1	LINC00337	6296300	6299504
ENSG00000173673	1	HES3	6304252	6305638
ENSG00000158292	1	GPR153	6307406	6321035
ENSG00000097021	1	ACOT7	6324329	6454451
ENSG00000069812	1	HES2	6472478	6484730
ENSG00000187017	1	ESPN	6484848	6521430
ENSG00000265392	1	MIR4252	6489894	6489956
ENSG00000215788	1	TNFRSF25	6521211	6526255
ENSG00000171680	1	PLEKHG5	6526152	6580121
ENSG00000162408	1	NOL9	6581407	6614595
ENSG00000253022	1	RNU6-731P	6600914	6601024
ENSG00000173662	1	TAS1R1	6615241	6639817
ENSG00000204859	1	ZBTB48	6640061	6649340
ENSG00000162413	1	KLHL21	6650784	6674667
ENSG00000116273	1	PHF13	6673745	6684093
ENSG00000041988	1	THAP3	6684926	6695646
ENSG00000007923	1	DNAJC11	6694228	6761984
ENSG00000171735	1	CAMTA1	6845384	7829766
ENSG00000207056	1	RNU1-8P	7279420	7279584
ENSG00000237402	1	CAMTA1-IT1	7429003	7430331
ENSG00000049245	1	VAMP3	7831329	7841492
ENSG00000049246	1	PER3	7844380	7905237
ENSG00000049247	1	UTS2	7903143	7913572
ENSG00000049249	1	TNFRSF9	7979907	8000926
ENSG00000116288	1	PARK7	8014351	8045565
ENSG00000116285	1	ERRFI1	8064464	8086368
ENSG00000200975	1	RNU1-7P	8266494	8266657
ENSG00000265414	1	RN7SL729P	8335184	8335438
ENSG00000251977	1	RNU6-991P	8352217	8352323
ENSG00000162426	1	SLC45A1	8377886	8404227
ENSG00000142599	1	RERE	8412457	8877702
ENSG00000234619	1	RPL7P11	8810489	8811146
ENSG00000224315	1	RPL7P7	8846270	8846972
ENSG00000074800	1	ENO1	8921061	8939308
ENSG00000236269	1	ENO1-IT1	8935847	8938066
ENSG00000230679	1	ENO1-AS1	8938894	8939953
ENSG00000201725	1	RNU6-304P	8943486	8943592
ENSG00000238249	1	HMGN2P17	8953468	8954210
ENSG00000131686	1	CA6	9005926	9035151
ENSG00000265141	1	RN7SL451P	9039637	9039933
ENSG00000197241	1	SLC2A7	9063359	9086404
ENSG00000142583	1	SLC2A5	9095166	9148537
ENSG00000180758	1	GPR157	9160364	9189229
ENSG00000207865	1	MIR34A	9211727	9211836
ENSG00000049239	1	H6PD	9294834	9331396
ENSG00000171621	1	SPSB1	9352939	9429591
ENSG00000252956	1	RNA5SP40	9497728	9497837
ENSG00000171612	1	SLC25A33	9599541	9645237
ENSG00000188807	1	TMEM201	9648932	9674935
ENSG00000171608	1	PIK3CD	9711790	9789172
ENSG00000179840	1	C1orf200	9712668	9714644
ENSG00000171603	1	CLSTN1	9789084	9884584
ENSG00000178585	1	CTNNBIP1	9908334	9970394
ENSG00000162441	1	LZIC	9982173	10003465
ENSG00000173614	1	NMNAT1	10003486	10045559
ENSG00000202415	1	RN7SKP269	10007376	10007694
ENSG00000265521	1	MIR5697	10027439	10027516
ENSG00000162444	1	RBP7	10057264	10076078
ENSG00000130939	1	UBE4B	10092890	10241297
ENSG00000233623	1	PGAM1P11	10118729	10119706
ENSG00000201746	1	RNU6-828P	10223326	10223432
ENSG00000054523	1	KIF1B	10270863	10441661
ENSG00000264881	1	MIR1273D	10287776	10287861
ENSG00000199562	1	RNU6-37P	10359024	10359130
ENSG00000264501	1	RN7SL731P	10366523	10366813
ENSG00000265945	1	RN7SL721P	10450059	10450353
ENSG00000142657	1	PGD	10458649	10480201
ENSG00000175279	1	APITD1	10490159	10512210
ENSG00000251503	1	APITD1-CORT	10490159	10512210
ENSG00000241563	1	CORT	10509776	10511959
ENSG00000160049	1	DFFA	10516579	10532583
ENSG00000142655	1	PEX14	10532345	10690815
ENSG00000243267	1	RN7SL614P	10676893	10677170
ENSG00000130940	1	CASZ1	10696661	10856707
ENSG00000225158	1	HSPE1P24	10955818	10956055
ENSG00000175262	1	C1orf127	11006528	11042094
ENSG00000215785	1	CFL1P6	11051035	11051854
ENSG00000120948	1	TARDBP	11072414	11085796
ENSG00000009724	1	MASP2	11086580	11107290
ENSG00000116649	1	SRM	11114641	11120081
ENSG00000171824	1	EXOSC10	11126675	11159938
ENSG00000198793	1	MTOR	11166592	11322564
ENSG00000225602	1	MTOR-AS1	11203955	11209594
ENSG00000253086	1	RNU6-537P	11212407	11212509
ENSG00000171819	1	ANGPTL7	11249398	11256038
ENSG00000207451	1	RNU6-291P	11286311	11286417
ENSG00000238173	1	RPL39P6	11293020	11293169
ENSG00000120942	1	UBIAD1	11333263	11356106
ENSG00000238199	1	UBE2V2P3	11338673	11339408
ENSG00000204624	1	PTCHD2	11539223	11597641
ENSG00000116661	1	FBXO2	11708424	11715842
ENSG00000132879	1	FBXO44	11714432	11723384
ENSG00000116663	1	FBXO6	11724181	11734411
ENSG00000116670	1	MAD2L2	11734537	11751707
ENSG00000162490	1	DRAXIN	11751786	11785914
ENSG00000177674	1	AGTRAP	11796141	11814859
ENSG00000215910	1	C1orf167	11821844	11849642
ENSG00000177000	1	MTHFR	11845780	11866977
ENSG00000011021	1	CLCN6	11866207	11903201
ENSG00000242349	1	NPPA-AS1	11901074	11908136
ENSG00000175206	1	NPPA	11905766	11908402
ENSG00000120937	1	NPPB	11917521	11918988
ENSG00000199347	1	RNU5E-1	11968209	11968328
ENSG00000201801	1	RNU5E-4P	11969865	11969984
ENSG00000116685	1	KIAA2013	11979648	11986485
ENSG00000083444	1	PLOD1	11994262	12035595
ENSG00000116688	1	MFN2	12040238	12073571
ENSG00000116691	1	MIIP	12079523	12092102
ENSG00000243539	1	RN7SL649P	12096799	12097071
ENSG00000120949	1	TNFRSF8	12123434	12204264
ENSG00000201135	1	RNU6-777P	12137938	12138041
ENSG00000028137	1	TNFRSF1B	12227060	12269285
ENSG00000263676	1	MIR4632	12251770	12251830
ENSG00000048707	1	VPS13D	12290124	12572099
ENSG00000239149	1	SNORA59A	12567300	12567451
ENSG00000162496	1	DHRS3	12627939	12677737
ENSG00000221340	1	RNU6ATAC18P	12630000	12630100
ENSG00000204518	1	AADACL4	12704566	12727097
ENSG00000188984	1	AADACL3	12776118	12788726
ENSG00000157330	1	C1orf158	12806163	12823847
ENSG00000116726	1	PRAMEF12	12834984	12838049
ENSG00000116721	1	PRAMEF1	12851546	12856777
ENSG00000204513	1	PRAMEF11	12884468	12891264
ENSG00000179172	1	HNRNPCL1	12907261	12908578
ENSG00000120952	1	PRAMEF2	12916941	12921764
ENSG00000243073	1	PRAMEF4	12939045	12946025
ENSG00000187545	1	PRAMEF10	12952727	12958101
ENSG00000204510	1	PRAMEF7	12976450	12980569
ENSG00000207434	1	RNU6-1072P	12982374	12982480
ENSG00000232423	1	PRAMEF6	12998181	13117751
ENSG00000204508	1	PRAMEF22	13035543	13038381
ENSG00000270601	1	PRAMEF23	13108842	13112679
ENSG00000204505	1	PRAMEF25	13140456	13145000
ENSG00000179412	1	HNRNPCP5	13182960	13184326
ENSG00000229571	1	PRAMEF26	13216356	13219581
ENSG00000204503	1	PRAMEF3	13328196	13331692
ENSG00000204502	1	PRAMEF5	13359819	13369057
ENSG00000207511	1	RNU6-771P	13384735	13384841
ENSG00000182330	1	PRAMEF8	13386646	13390765
ENSG00000204501	1	PRAMEF9	13421176	13428191
ENSG00000204495	1	PRAMEF13	13447414	13452656
ENSG00000204491	1	PRAMEF18	13474689	13477522
ENSG00000204488	1	PRAMEF16	13495254	13498260
ENSG00000204486	1	PRAMEF21	13516066	13526943
ENSG00000157358	1	PRAMEF15	13641973	13648988
ENSG00000204481	1	PRAMEF14	13668269	13673511
ENSG00000204480	1	PRAMEF19	13694889	13698405
ENSG00000204479	1	PRAMEF17	13716092	13719089
ENSG00000204478	1	PRAMEF20	13736907	13747803
ENSG00000162494	1	LRRC38	13801445	13840543
ENSG00000162493	1	PDPN	13909960	13944452
ENSG00000222952	1	RNA5SP41	13949679	13949779
ENSG00000116731	1	PRDM2	14026693	14151574
ENSG00000252151	1	RNU6-1265P	14450728	14450830
ENSG00000189337	1	KAZN	14925200	15444539
ENSG00000235829	1	TBCAP2	15018625	15019109
ENSG00000175147	1	TMEM51-AS1	15442448	15478960
ENSG00000171729	1	TMEM51	15479028	15546976
ENSG00000204464	1	C1orf195	15490840	15497813
ENSG00000142621	1	FHAD1	15573768	15726779
ENSG00000142634	1	EFHD2	15736391	15756839
ENSG00000162438	1	CTRC	15764935	15775737
ENSG00000142615	1	CELA2A	15783223	15798586
ENSG00000215704	1	CELA2B	15792404	15817895
ENSG00000132906	1	CASP9	15817327	15853029
ENSG00000116138	1	DNAJC16	15853308	15918874
ENSG00000116771	1	AGMAT	15898848	15911605
ENSG00000235084	1	CHCHD2P6	15931077	15931538
ENSG00000252417	1	RNU7-179P	15934573	15934640
ENSG00000197312	1	DDI2	15943995	15995539
ENSG00000215695	1	RSC1A1	15986364	15988217
ENSG00000116786	1	PLEKHM2	16010827	16061264
ENSG00000162461	1	SLC25A34	16062900	16067891
ENSG00000162460	1	TMEM82	16068917	16074477
ENSG00000162458	1	FBLIM1	16083102	16113089
ENSG00000065526	1	SPEN	16174359	16266955
ENSG00000116809	1	ZBTB17	16268364	16302627
ENSG00000224966	1	TBC1D3P6	16316366	16321246
ENSG00000183888	1	C1orf64	16330731	16335302
ENSG00000173641	1	HSPB7	16340523	16346089
ENSG00000186510	1	CLCNKA	16345370	16360545
ENSG00000184908	1	CLCNKB	16370272	16383803
ENSG00000185519	1	FAM131C	16384264	16400127
ENSG00000142627	1	EPHA2	16450832	16482582
ENSG00000142632	1	ARHGEF19	16524349	16539104
ENSG00000234166	1	ARHGEF19-AS1	16524349	16524852
ENSG00000237276	1	ANO7P1	16542404	16554522
ENSG00000204377	1	C1orf134	16555368	16556038
ENSG00000132881	1	RSG1	16558195	16563657
